Temperature,Soil,Light,Humid,Rainfall,Label
23.61,1,1,50.94,151.54,Bayam Hijau
27.63,1,1,50.69,90.03,Bayam Hijau
31.23,1,1,53.06,133.44,Bayam Hijau
21.53,3,1,51.86,152.88,Bayam Hijau
26.73,1,1,60.62,103.16,Bayam Hijau
21.72,1,1,51.66,146.83,Bayam Hijau
29.32,2,1,58.86,157.57,Bayam Hijau
25.15,1,1,56.45,150.51,Bayam Hijau
27.35,3,1,56.26,92.27,Bayam Hijau
22.38,2,1,55.63,84.09,Bayam Hijau
21.88,3,1,60.69,99.31,Bayam Hijau
26.34,2,1,54,105.87,Bayam Hijau
24.62,2,1,58.67,134.68,Bayam Hijau
32.23,2,1,56.11,115.36,Bayam Hijau
29.95,3,1,54.35,141.95,Bayam Hijau
29.73,2,1,60.51,112.76,Bayam Hijau
31.75,2,1,56.58,96.2,Bayam Hijau
21.08,3,1,51.31,109.39,Bayam Hijau
27.18,2,1,54.59,157.03,Bayam Hijau
27.6,1,1,58.6,163.21,Bayam Hijau
32.51,2,1,57.63,100.62,Bayam Hijau
23.8,2,1,60.08,149.04,Bayam Hijau
23.13,3,1,52.85,106.11,Bayam Hijau
21.3,2,1,58.34,157.26,Bayam Hijau
20.21,2,1,55.06,97.13,Bayam Hijau
32.08,2,1,56.31,138.83,Bayam Hijau
28.71,3,1,60.51,90.35,Bayam Hijau
30.21,3,1,60.77,164.49,Bayam Hijau
23.66,3,1,59.48,141.72,Bayam Hijau
27.62,2,1,53.95,153.49,Bayam Hijau
20.83,3,1,59.76,130.56,Bayam Hijau
26.31,2,1,57.02,123.07,Bayam Hijau
32.71,2,1,54.73,135.16,Bayam Hijau
31.39,2,1,50.39,127.4,Bayam Hijau
24.4,2,1,58.47,122.45,Bayam Hijau
32.5,1,1,55.52,146.62,Bayam Hijau
23.01,3,1,58.65,98.18,Bayam Hijau
32.34,2,1,58.23,97.6,Bayam Hijau
32.24,2,1,58.73,119.32,Bayam Hijau
30.39,2,1,53.31,110.06,Bayam Hijau
28.2,2,1,58.81,89.51,Bayam Hijau
31.37,3,1,56.04,153.71,Bayam Hijau
23.81,1,1,55.21,147.64,Bayam Hijau
31.04,2,1,57.43,128.66,Bayam Hijau
28.03,3,1,50.23,164.95,Bayam Hijau
20.17,3,1,51.13,89.38,Bayam Hijau
24.51,1,1,53.21,147.22,Bayam Hijau
21.93,1,1,60.81,105.53,Bayam Hijau
32.76,2,1,51.54,114.05,Bayam Hijau
26.22,1,1,53.64,101.6,Bayam Hijau
26.47,2,1,50.56,149.09,Bayam Hijau
28.31,1,1,53.64,95.35,Bayam Hijau
24.79,2,1,53.52,153.34,Bayam Hijau
21.78,2,1,60.41,138.47,Bayam Hijau
30.69,2,1,59.3,88.25,Bayam Hijau
22.47,1,1,54.21,150.92,Bayam Hijau
26.65,3,1,50.27,135.65,Bayam Hijau
22.92,3,1,59.14,158.75,Bayam Hijau
21.27,2,1,57.27,145.73,Bayam Hijau
31.21,2,1,51.68,130.09,Bayam Hijau
32.65,2,1,60.96,153.05,Bayam Hijau
32.49,2,1,51.1,106.5,Bayam Hijau
31.79,1,1,59.54,128.91,Bayam Hijau
30.06,2,1,53.24,107.8,Bayam Hijau
24.33,2,1,54.79,164.02,Bayam Hijau
21.05,2,1,58.75,102.18,Bayam Hijau
25.29,3,1,57.45,84.64,Bayam Hijau
23.02,2,1,60.32,110.49,Bayam Hijau
21.72,3,1,56.83,125.21,Bayam Hijau
20.69,2,1,51.08,85.69,Bayam Hijau
29.43,3,1,59.73,129.94,Bayam Hijau
20.15,2,1,58.46,156.19,Bayam Hijau
30.02,2,1,57.83,142.06,Bayam Hijau
21.91,2,1,50.59,135.25,Bayam Hijau
21.03,2,1,54.36,163,Bayam Hijau
21.16,3,1,51.84,163.19,Bayam Hijau
28.74,1,1,59.04,152.02,Bayam Hijau
23.19,2,1,57.71,133.98,Bayam Hijau
25.47,1,1,59.71,123.98,Bayam Hijau
27.25,2,1,60.63,84.44,Bayam Hijau
31.19,2,1,58.52,133.86,Bayam Hijau
29.45,2,1,60.94,165.76,Bayam Hijau
23.51,2,1,56.76,151.51,Bayam Hijau
21.71,1,1,50.41,111.72,Bayam Hijau
20.72,2,1,50.16,96,Bayam Hijau
23.92,1,1,53.76,148.67,Bayam Hijau
23.41,2,1,59.06,145.33,Bayam Hijau
25.93,3,1,59.53,163.92,Bayam Hijau
28.88,2,1,60.57,156.24,Bayam Hijau
29.04,3,1,50.72,129.64,Bayam Hijau
23.69,3,1,50.49,91.77,Bayam Hijau
24.94,1,1,60.05,123.62,Bayam Hijau
22.35,2,1,53.36,109.47,Bayam Hijau
30.25,1,1,56.14,126.03,Bayam Hijau
20.74,2,1,60.81,108.47,Bayam Hijau
29.06,2,1,54.4,155.15,Bayam Hijau
30.12,3,1,57.32,153.7,Bayam Hijau
30.11,2,1,54.41,109.62,Bayam Hijau
23.37,3,1,58.45,133.3,Bayam Hijau
24.86,1,1,55.8,119.18,Bayam Hijau
27.64,2,1,52.61,159.09,Bayam Hijau
23.55,2,1,52.98,98.94,Bayam Hijau
24.82,2,1,52.84,141.48,Bayam Hijau
22.56,1,1,55.86,164.2,Bayam Hijau
25.98,1,1,57.74,97.94,Bayam Hijau
20.58,3,1,60.44,100.16,Bayam Hijau
30.4,2,1,57.63,141.14,Bayam Hijau
21,3,1,58.59,148.26,Bayam Hijau
26.74,2,1,51.86,124.21,Bayam Hijau
23.99,2,1,54.11,134.14,Bayam Hijau
27.51,2,1,54.55,101.05,Bayam Hijau
32.47,2,1,57.55,123.05,Bayam Hijau
28.39,3,1,53.25,92.67,Bayam Hijau
20.46,2,1,53.34,110.12,Bayam Hijau
25.6,1,1,53.91,107.06,Bayam Hijau
26.63,2,1,58.91,120.39,Bayam Hijau
26.97,3,1,56.35,160.85,Bayam Hijau
28.86,2,1,50.83,98.44,Bayam Hijau
23.61,1,1,50.86,116.78,Bayam Hijau
21.68,2,1,54.08,134.63,Bayam Hijau
25.1,1,1,58.43,162.22,Bayam Hijau
32.43,2,1,57.58,94.43,Bayam Hijau
22.43,3,1,57.79,159.83,Bayam Hijau
31.75,3,1,58.44,90.09,Bayam Hijau
27.07,2,1,53.16,123.39,Bayam Hijau
25.94,2,1,56.03,121.22,Bayam Hijau
31.47,2,1,55.98,100.8,Bayam Hijau
25.96,3,1,58.14,112.29,Bayam Hijau
29.41,1,1,60.53,121.18,Bayam Hijau
25.19,2,1,53.06,155.44,Bayam Hijau
31.75,3,1,58.73,162.93,Bayam Hijau
28.97,2,1,57.26,126.58,Bayam Hijau
29.1,3,1,56.38,155.84,Bayam Hijau
24.26,1,1,58.52,134.02,Bayam Hijau
29.84,2,1,60.38,112.42,Bayam Hijau
28.27,2,1,50.4,99.51,Bayam Hijau
23.12,2,1,51.62,117.76,Bayam Hijau
22.09,2,1,58.32,126.9,Bayam Hijau
30.35,2,1,50.92,87.03,Bayam Hijau
32.47,2,1,55.68,95.48,Bayam Hijau
25.96,3,1,52.42,133.35,Bayam Hijau
27.68,2,1,53.02,102.08,Bayam Hijau
31.15,2,1,57.72,153.11,Bayam Hijau
25.94,2,1,50.33,110.58,Bayam Hijau
32.37,2,1,59.61,92.07,Bayam Hijau
27.48,2,1,54.89,90.29,Bayam Hijau
30.67,2,1,55.53,161.43,Bayam Hijau
31.81,2,1,55.94,93.17,Bayam Hijau
30.6,2,1,57.1,95.07,Bayam Hijau
22.07,2,1,53.79,155.22,Bayam Hijau
28.18,1,1,51.11,104.52,Bayam Hijau
25.18,3,1,53.5,138.83,Bayam Hijau
20.82,2,1,51.85,151.4,Bayam Hijau
25.51,2,1,56.12,133.93,Bayam Hijau
23.36,2,1,53.5,163.13,Bayam Hijau
31.04,2,1,60.54,142.41,Bayam Hijau
20.43,2,1,60.62,92.73,Bayam Hijau
32.47,2,1,56.82,129.87,Bayam Hijau
24.62,3,1,56.79,143.18,Bayam Hijau
24.64,2,1,60.84,150.17,Bayam Hijau
20.21,2,1,59.76,85.52,Bayam Hijau
22.41,2,1,58.42,143.24,Bayam Hijau
25.22,3,1,53.45,152.14,Bayam Hijau
32.08,2,1,54.02,145.57,Bayam Hijau
21.29,2,1,52.21,126.03,Bayam Hijau
32.29,1,1,55.36,121.5,Bayam Hijau
31.3,3,1,60.89,129.12,Bayam Hijau
25.9,3,1,60.03,142.06,Bayam Hijau
24.25,1,1,51.3,160.25,Bayam Hijau
23.03,2,1,50.28,134.75,Bayam Hijau
27.99,1,1,59.89,157.32,Bayam Hijau
20.43,1,1,55.91,141.77,Bayam Hijau
20.2,3,1,52.2,89.03,Bayam Hijau
25.57,1,1,57.41,125.07,Bayam Hijau
20.88,3,1,57.09,107.21,Bayam Hijau
23.28,1,1,51.34,107.1,Bayam Hijau
22.88,3,1,52.86,112.99,Bayam Hijau
23.29,2,1,50.66,109.56,Bayam Hijau
21.7,2,1,52.31,131.55,Bayam Hijau
20.16,2,1,51.46,140.3,Bayam Hijau
21.5,2,1,52.13,105.73,Bayam Hijau
28.04,2,1,57.54,94.14,Bayam Hijau
32.67,2,1,50.54,88.23,Bayam Hijau
32.87,2,1,51.12,131.31,Bayam Hijau
25.32,2,1,51.48,98.84,Bayam Hijau
22.12,3,1,53.48,84.1,Bayam Hijau
28.3,2,1,53.29,160.65,Bayam Hijau
26.37,3,1,52.81,128.1,Bayam Hijau
32.86,2,1,58.26,91.03,Bayam Hijau
20.85,1,1,60.98,153.58,Bayam Hijau
30.18,2,1,55.87,165.27,Bayam Hijau
23.75,2,1,60.39,120.72,Bayam Hijau
23.14,3,1,54.36,86.87,Bayam Hijau
28.61,1,1,51.17,93.13,Bayam Hijau
23.2,2,1,54.5,115.14,Bayam Hijau
28.66,1,1,53.26,157.13,Bayam Hijau
26.73,2,1,55.43,95.67,Bayam Hijau
25.51,3,1,57.23,152,Bayam Hijau
27.21,2,1,55.07,84.58,Bayam Hijau
23.73,1,1,60.29,121.45,Bayam Hijau
29.19,2,1,59.73,137.03,Bayam Hijau
25.39,3,1,57.72,88.36,Bayam Hijau
24.69,1,1,55.39,134.56,Bayam Hijau
30.77,2,1,51.45,162.04,Bayam Hijau
32.02,1,1,54.37,96.69,Bayam Hijau
20.6,2,1,57.75,144.14,Bayam Hijau
23.02,2,1,53.13,134.09,Bayam Hijau
24.53,2,1,51.14,98.76,Bayam Hijau
30.59,2,1,59.99,83.85,Bayam Hijau
32.81,2,1,57.8,84.1,Bayam Hijau
32.6,2,1,56.77,127.67,Bayam Hijau
31.76,3,1,58.72,161.9,Bayam Hijau
23.86,2,1,59.19,137.03,Bayam Hijau
32.9,3,1,55.32,142.86,Bayam Hijau
23.24,1,1,59.69,124.49,Bayam Hijau
21.38,2,1,60.08,131.82,Bayam Hijau
32.36,1,1,52.99,93.86,Bayam Hijau
23.03,2,1,56.68,156.4,Bayam Hijau
28.97,2,1,55.79,146.73,Bayam Hijau
20.76,2,1,55.92,166.52,Bayam Hijau
29.5,3,1,60.31,108.14,Bayam Hijau
31.46,3,1,53.36,102.25,Bayam Hijau
23.54,2,1,60.82,93.76,Bayam Hijau
24.93,2,1,59.92,163.69,Bayam Hijau
24.87,1,1,55.05,148.41,Bayam Hijau
29.73,2,1,58.99,97.19,Bayam Hijau
23.09,2,1,58.46,129.39,Bayam Hijau
22.23,2,1,57.46,117.81,Bayam Hijau
25.84,2,1,53.52,95.95,Bayam Hijau
23.96,2,1,52.16,96.84,Bayam Hijau
30.91,1,1,57.39,163.63,Bayam Hijau
23.09,3,1,59.27,108.75,Bayam Hijau
26.53,2,1,50.18,161.79,Bayam Hijau
32.25,1,1,57.07,89.63,Bayam Hijau
28.24,3,1,54.87,121.73,Bayam Hijau
31.27,2,1,59.88,94.13,Bayam Hijau
32.22,3,1,53.54,83.73,Bayam Hijau
29.76,1,1,55.22,129.48,Bayam Hijau
29.09,2,1,55.66,92.82,Bayam Hijau
32.58,2,1,51.54,143.5,Bayam Hijau
32.93,2,1,57.84,141.51,Bayam Hijau
25.87,2,1,59.14,98.03,Bayam Hijau
20.92,3,1,50.64,161.81,Bayam Hijau
23.81,3,1,53.21,143.42,Bayam Hijau
21.98,2,1,50.42,108.16,Bayam Hijau
25.43,2,1,60.52,142.44,Bayam Hijau
21.71,3,1,57.34,144.33,Bayam Hijau
27.85,2,1,60.61,111.85,Bayam Hijau
24.98,3,1,55.85,114.63,Bayam Hijau
31.64,3,1,58.82,113.26,Bayam Hijau
32.58,2,1,54.12,134.72,Bayam Hijau
27.11,2,1,53.89,158.37,Bayam Hijau
23.57,1,1,54.16,97.76,Bayam Hijau
27.7,2,1,57.24,156.27,Bayam Hijau
31.66,2,1,53.95,85.63,Bayam Hijau
25.29,2,1,59.9,138.36,Bayam Hijau
27.18,2,1,60.82,117.87,Bayam Hijau
23.53,1,1,50.33,149.28,Bayam Hijau
25.92,2,1,52.13,143.43,Bayam Hijau
25.22,3,1,51.23,123.34,Bayam Hijau
23.23,2,1,50.47,136.99,Bayam Hijau
26.58,2,1,52.51,125.15,Bayam Hijau
26.49,3,1,68.69,88.87,Tomat
23.81,2,1,73.22,82.36,Tomat
24.19,2,1,76.35,102.98,Tomat
22,2,1,77.88,64.43,Tomat
24.84,3,1,77.14,89.93,Tomat
22.42,2,1,63.49,100.4,Tomat
24.62,1,1,77.4,72.36,Tomat
21.36,2,1,61.23,71.41,Tomat
21.28,2,1,64.2,94.26,Tomat
23.34,2,1,73.08,82.77,Tomat
23.41,2,1,62.41,103.84,Tomat
22.14,2,1,72.67,87.05,Tomat
21.05,2,1,66.47,100.98,Tomat
20.31,3,1,69.02,63.01,Tomat
20.2,3,1,66.62,68.94,Tomat
22.17,2,1,61.47,91.02,Tomat
23.69,2,1,70.52,79.85,Tomat
25.81,2,1,80.24,97.33,Tomat
23.8,2,1,72.85,80.37,Tomat
27.23,2,1,66.3,92.21,Tomat
20.28,2,1,80.08,86.09,Tomat
21.45,1,1,68.17,67.5,Tomat
22.71,3,1,74.65,92.42,Tomat
24.62,3,1,73.32,91.93,Tomat
26.82,2,1,80.01,67.32,Tomat
22.8,2,1,79.21,85.91,Tomat
22.14,3,1,63.11,76.49,Tomat
20.5,2,1,61.8,81.62,Tomat
26.57,2,1,77,80.12,Tomat
23.04,1,1,79,66.87,Tomat
24.57,1,1,70.35,69.08,Tomat
27.87,2,1,74.51,66.12,Tomat
20.01,2,1,61.47,70.52,Tomat
21.16,2,1,64.62,98.02,Tomat
26.23,3,1,63.14,63.52,Tomat
26.44,3,1,72.62,80.49,Tomat
26.15,2,1,64.15,95.88,Tomat
24.3,2,1,61.26,66.68,Tomat
27.83,3,1,66.35,71.99,Tomat
23.17,1,1,74.22,92.81,Tomat
24.82,2,1,72.14,89.48,Tomat
20.51,2,1,66.95,85.96,Tomat
23.28,1,1,77.5,69.65,Tomat
25.78,3,1,65.8,95.61,Tomat
21.91,2,1,65.47,68.39,Tomat
27.55,2,1,71.76,68.12,Tomat
25.49,3,1,70.04,95.63,Tomat
22.3,2,1,69.37,77.89,Tomat
26.15,1,1,63.27,75.53,Tomat
20.67,3,1,70.6,74.11,Tomat
27.8,2,1,65.44,76.04,Tomat
20.39,3,1,68.24,76.69,Tomat
27.47,3,1,75.4,91.52,Tomat
22.02,3,1,79.67,72.51,Tomat
26.06,2,1,76.25,76.06,Tomat
20,2,1,68.52,94.84,Tomat
22.03,3,1,72.45,100.55,Tomat
25.99,2,1,75.68,88.04,Tomat
24.26,2,1,68.7,66.88,Tomat
20.92,1,1,67.57,85.07,Tomat
23.15,2,1,62.84,88.66,Tomat
23,3,1,75.46,75.59,Tomat
24.55,2,1,77.61,97,Tomat
25.34,2,1,66.65,95.09,Tomat
26.73,2,1,76.45,86.47,Tomat
23.98,1,1,72.81,68.54,Tomat
23.14,1,1,76.47,91.56,Tomat
21.15,2,1,68.64,99.81,Tomat
26.44,2,1,75.7,72.92,Tomat
25.71,2,1,68.58,102.45,Tomat
